연도,명절구분,순번,자원명,관리기관구분,기관명,주소,상세주소,경도,위도,주차장유형,주차면수,휴일_1_개방일,휴일_1_개방시간,휴일_2_개방일,휴일_2_개방시간,휴일_3_개방일,휴일_3_개방시간,휴일_4_개방일,휴일_4_개방시간,휴일_5_개방일,휴일_5_개방시간,요금정책,참고사항
2026,설,10885,신장육교 공영주차장,공공기관,평택도시공사 대행사업처 주차사업팀,경기 평택시 신장동 298-68,평택 프로방스 레지던스 인근,127.0505937,37.079219,노상,22,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,031-692-3432
2026,설,10886,평택남부 공영주차장,공공기관,평택도시공사 대행사업처 주차사업팀,경기 평택시 평택동 31-1,평택우체국 인근,127.090981,36.99405443,노상,32,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,031-692-3432
2026,설,10888,중앙로 공영주차장,공공기관,평택도시공사 대행사업처 주차사업팀,경기 평택시 평택동 43-1,박애병원 삼거리 인근,127.0885757,36.99297945,노상,31,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,031-692-3432
2026,설,10898,구미지사 지상주차장,공공기관,한국전력공사,경북 구미시 백산로 166 (송정동),한국전력공사 구미지사,128.3502938,36.11772984,부설.부속,44,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10901,군산지사 주차장,공공기관,한국전력공사,전북특별자치도 군산시 해망로 264 (장미동),한국전력공사 군산지사,126.7097464,35.99200127,부설.부속,19,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10903,군위지사 주차장,공공기관,한국전력공사,대구 군위군 군위읍 중앙5길 7-14,한국전력공사 군위지사,128.5664326,36.2382013,부설.부속,9,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10904,영광중학교 주차장,기타,경상북도교육청 경상북도영주교육지원청 영광중학교,경북 영주시 광복로 17 (영주동),,128.6201762,36.82869809,부설.부속,33,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,1 방학중 상시 개방
2026,설,10906,금산지사 주차장,공공기관,한국전력공사,충남 금산군 금산읍 후곤천길 5,한국전력공사 금산지사,127.4830917,36.10738439,부설.부속,24,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10909,경상북도구미교육지원청,교육청,경상북도교육청 경상북도구미교육지원청,경북 구미시 송정대로 63 (송정동),,128.3455901,36.11872833,부설.부속,145,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10910,기장지사 주차장,공공기관,한국전력공사,부산 기장군 기장읍 청강로 24,한국전력공사 기장지사,129.2197206,35.23448726,부설.부속,40,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10926,김제지사 주차장,공공기관,한국전력공사,전북특별자치도 김제시 금성로 83 (신풍동),한국전력공사 김제지사,126.899727,35.79969473,부설.부속,58,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10928,김천지사 주차장,공공기관,한국전력공사,경북 김천시 모암길 210 (성내동),한국전력공사 김천지사,128.1199453,36.12693668,부설.부속,12,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10932,김포지사 주차장,공공기관,한국전력공사,경기 김포시 태장로 773 (장기동),한국전력공사 김포지사,126.6810242,37.63933876,부설.부속,52,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10933,김해지사 주차장,공공기관,한국전력공사,경남 김해시 김해대로 2399 (부원동),한국전력공사 김해지사,128.8890909,35.22753342,부설.부속,19,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10935,나주지사 주차장,공공기관,한국전력공사,전남 나주시 왕건길 53 (송월동),한국전력공사 나주지사,126.7129262,35.01843031,부설.부속,35,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10939,남대구지사 주차장,공공기관,한국전력공사,대구 달성군 화원읍 비슬로509길 26,한국전력공사 남대구지사,128.493235,35.8039303,부설.부속,43,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10942,남부산지사 주차장,공공기관,한국전력공사,부산 해운대구 해운대해변로 113 (우동),한국전력공사 남부산지사,129.1447447,35.16023126,부설.부속,7,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10943,태장2동 상록아파트 부근 공영주차장,지방자치단체,강원도 원주시 건설교통국 교통행정과,강원특별자치도 원주시 태장동 955-1,,127.9525204,37.37301223,노외,33,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10945,남서울본부 문래사옥 주차장,공공기관,한국전력공사,서울 영등포구 문래북로 66 (문래동3가),한국전력공사 남서울본부 문래사옥,126.892763,37.52031813,부설.부속,1,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10949,적석산 공영주차장,지방자치단체,경상남도 창원시 마산합포구 경제교통과,경남 창원시 마산합포구 진전면 일암리 820-1,,128.3719394,35.12010611,노외,61,2026-02-14,미개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10950,남원지사 주차장,공공기관,한국전력공사,전북특별자치도 남원시 충정로 119 (향교동),한국전력공사 남원지사,127.386804,35.41639739,부설.부속,48,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10952,석교리 주차장,지방자치단체,경상남도 남해군,경남 남해군 남면 석교리 183,,127.903318,34.76025563,노상,19,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10953,용댐 공영주차장,지방자치단체,경상남도 창원시 마산합포구 경제교통과,경남 창원시 마산합포구 진전면 곡안리 476-5,,128.4040701,35.10973947,노외,89,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10954,마산덴소공원 공영주차장,지방자치단체,경상남도 창원시 마산합포구 경제교통과,경남 창원시 마산합포구 우산동 300-4,,128.5506921,35.15665283,노외,62,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
2026,설,10957,월영마을 공영주차장,지방자치단체,경상남도 창원시 마산합포구 경제교통과,경남 창원시 마산합포구 월영동 711,,128.5608259,35.17148867,노외,64,2026-02-14,종일개방,2026-02-15,종일개방,2026-02-16,종일개방,2026-02-17,종일개방,2026-02-18,종일개방,무료,
